year,county,yield_lb_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
1980,ANDERSON,280,600,600,313.838,242.81136,242.81136,76203.4316
1980,ANDREWS,104,58200,33800,116.5684,23552.70192,13678.37328,1594466.088
1980,ARCHER,87,6000,4600,97.51395,2428.1136,1861.55376,181527.4603
1980,ARMSTRONG,190,4500,4300,212.9615,1821.0852,1740.14808,370584.5453
1980,ATASCOSA,288,600,50,322.8048,242.81136,20.23428,6531.722709
1980,AUSTIN,213,3600,3600,238.74105,1456.86816,1456.86816,347814.2342
1980,BAILEY,272,161300,75900,304.8712,65275.78728,30715.63704,9364313.123
1980,BASTROP,172,1200,1200,192.7862,485.62272,485.62272,93621.35882
1980,BAYLOR,94,24400,16300,105.3599,9874.32864,6596.37528,694993.4399
1980,BEE,247,4200,3500,276.84995,1699.67952,1416.3996,392130.1584
1980,BELL,172,16100,14800,192.7862,6515.43816,5989.34688,1154663.425
1980,BORDEN,108,29400,27000,121.0518,11897.75664,10926.5112,1322673.848
1980,BOSQUE,144,1000,900,161.4024,404.6856,364.21704,58785.50438
1980,BOWIE,274,700,700,307.1129,283.27992,283.27992,86998.91774
1980,BRAZORIA,314,5300,5200,351.9469,2144.83368,2104.36512,740624.7805
1980,BRAZOS,460,17100,17000,515.591,6920.12376,6879.6552,3547088.304
1980,BRISCOE,232,69900,64800,260.0372,28287.52344,26223.62688,6819118.508
1980,BROWN,108,900,400,121.0518,364.21704,161.87424,19595.16813
1980,BURLESON,457,12600,12600,512.22845,5099.03856,5099.03856,2611872.618
1980,CALDWELL,243,7600,7300,272.36655,3075.61056,2954.20488,804626.5912
1980,CALHOUN,230,500,500,257.7955,202.3428,202.3428,52163.0633
1980,CALLAHAN,132,900,800,147.9522,364.21704,323.74848,47899.29986
1980,CAMERON,395,149400,142300,442.73575,60460.02864,57586.76088,25495717.77
1980,CARSON,144,1100,100,161.4024,445.15416,40.46856,6531.722709
1980,CASTRO,414,83300,77600,464.0319,33710.31048,31403.60256,14572273.36
1980,CHILDRESS,109,63200,57900,122.17265,25576.12992,23431.29624,2862663.555
1980,CLAY,92,8800,4000,103.1182,3561.23328,1618.7424,166921.8026
1980,COCHRAN,211,205100,97900,236.49935,83001.01656,39618.72024,9369801.585
1980,COKE,106,700,500,118.8101,283.27992,202.3428,24040.3683
1980,COLEMAN,126,11400,9500,141.2271,4613.41584,3844.5132,542949.4501
1980,COLLIN,161,24000,22600,180.45685,9712.4544,9145.89456,1650439.323
1980,COLLINGSWORTH,159,78600,76900,178.21515,31808.28816,31120.32264,5546112.967
1980,COLORADO,176,900,900,197.2696,364.21704,364.21704,71848.94979
1980,COMANCHE,137,1700,700,153.55645,687.96552,283.27992,43499.45887
1980,CONCHO,141,25900,25500,158.03985,10481.35704,10319.4828,1630889.514
1980,COOKE,132,900,800,147.9522,364.21704,323.74848,47899.29986
1980,CORYELL,206,900,700,230.8951,364.21704,283.27992,65407.94546
