year,county,yield_bu_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
2008,ARCHER,27,81800,54600,1815.776247,33103.28208,22095.83376,40121090.1
2008,ARMSTRONG,15.5,61100,36100,1042.390068,24726.29016,14609.15016,15228433.03
2008,ATASCOSA,16,1700,1300,1076.015554,687.96552,526.09128,566082.4
2008,BAYLOR,23,134000,102800,1546.772359,54227.8704,41601.67968,64348328.2
2008,BEE,20,1700,600,1345.019442,687.96552,242.81136,326586
2008,BELL,45,24800,20200,3026.293745,10036.20288,8174.64912,24738889.5
2008,BEXAR,25,5300,2200,1681.274303,2144.83368,890.30832,1496852.5
2008,BOSQUE,32.5,5100,1900,2185.656594,2063.89656,768.90264,1680557.125
2008,BOWIE,60.5,10300,8200,4068.683813,4168.26168,3318.42192,13501609.55
2008,BRISCOE,22,44300,23300,1479.521386,17927.57208,9429.17448,13950665.3
2008,BROWN,22.5,9600,3500,1513.146873,3884.98176,1416.3996,2143220.625
2008,BURLESON,67.5,2300,1300,4539.440618,930.77688,526.09128,2388160.125
2008,CALDWELL,31.5,1500,700,2118.405622,607.0284,283.27992,600101.775
2008,CALLAHAN,21.5,30800,14800,1445.8959,12464.31648,5989.34688,8659972.1
2008,CARSON,19,87500,57100,1277.76847,35409.99,23107.54776,29526095.95
2008,CASTRO,45.5,163000,61800,3059.919231,65963.7528,25009.57008,76527264.45
2008,CHILDRESS,25,45000,26900,1681.274303,18210.852,10886.04264,18302423.75
2008,CLAY,32.5,73400,28500,2185.656594,29703.92304,11533.5396,25208356.88
2008,COKE,11,9300,3700,739.7606932,3763.57608,1497.33672,1107670.85
2008,COLEMAN,19,44800,29900,1277.76847,18129.91488,12100.09944,15461125.55
2008,COLLIN,51.5,36200,31500,3463.425064,14649.61872,12747.5964,44150344.88
2008,COLLINGSWORTH,20,52000,28600,1345.019442,21043.6512,11574.00816,15567266
2008,CONCHO,18.5,47300,35100,1244.142984,19141.62888,14204.46456,17672384.93
2008,COOKE,43,33300,17500,2891.791801,13476.03048,7081.998,20479663.75
2008,CORYELL,38,12000,8800,2555.53694,4856.2272,3561.23328,9100863.2
2008,CROSBY,19.5,28600,13500,1311.393956,11574.00816,5463.2556,7164480.375
2008,DALLAM,38.5,128000,93700,2589.162426,51799.7568,37919.04072,98178555.48
2008,DALLAS,50.5,5200,5100,3396.174092,2104.36512,2063.89656,7009352.025
2008,DAWSON,47,19000,7300,3160.795689,7689.0264,2954.20488,9337638.05
2008,DEAF SMITH,27,199000,80500,1815.776247,80532.4344,32577.1908,59152889.25
2008,DELTA,45,11400,10300,3026.293745,4613.41584,4168.26168,12614384.25
2008,DENTON,28,34700,22700,1883.027219,14042.59032,9186.36312,17298171.8
2008,DICKENS,13.5,18000,2700,907.8881235,7284.3408,1092.65112,992004.975
2008,DONLEY,25.5,14500,9300,1714.899789,5867.9412,3763.57608,6454155.825
2008,EASTLAND,30,12100,1400,2017.529163,4896.69576,566.55984,1143051
2008,ELLIS,47.5,32300,25500,3194.421175,13071.34488,10319.4828,32964774.38
2008,FALLS,44,24400,14700,2959.042773,9874.32864,5948.87832,17602985.4
2008,FANNIN,48.5,33300,25500,3261.672147,13476.03048,10319.4828,33658769.63
2008,FISHER,16.5,68600,17400,1109.64104,27761.43216,7041.52944,7813570.05
2008,FLOYD,20,1.00E+05,66300,1345.019442,40468.56,26830.65528,36087753
2008,FOARD,23,86200,73800,1546.772359,34883.89872,29865.79728,46195589.7
2008,FRIO,34.5,12400,10500,2320.158538,5018.10144,4249.1988,9858814.875
2008,GAINES,32.5,74200,40200,2185.656594,30027.67152,16268.36112,35557050.75
2008,GILLESPIE,20,6200,4100,1345.019442,2509.05072,1659.21096,2231671
2008,GRAY,24,46200,36300,1614.023331,18696.47472,14690.08728,23710143.6
2008,GRAYSON,55,37300,29500,3698.803466,15094.77288,11938.2252,44157148.75
2008,GUADALUPE,22,12400,10600,1479.521386,5018.10144,4289.66736,6346654.6
2008,HALE,46,82100,48700,3093.544717,33224.68776,19708.18872,60968163.1
2008,HAMILTON,32.5,2700,1600,2185.656594,1092.65112,647.49696,1415206
2008,HANSFORD,26,213500,88600,1748.525275,86400.3756,35855.14416,62693625.8
2008,HARDEMAN,27.5,82400,53100,1849.401733,33346.09344,21488.80536,39741433.88
2008,HARTLEY,43,92500,56000,2891.791801,37433.418,22662.3936,65534924
2008,HASKELL,21,150500,120400,1412.270414,60905.1828,48724.14624,68811670.2
2008,HAYS,19.5,2900,1400,1311.393956,1173.58824,566.55984,742983.15
2008,HEMPHILL,23,13500,8200,1546.772359,5463.2556,3318.42192,5132843.3
2008,HILL,53,41900,29400,3564.301522,16956.32664,11897.75664,42407192.1
2008,HOCKLEY,35.5,18100,4200,2387.40951,7324.80936,1699.67952,4057831.05
2008,HOOD,23.5,1600,300,1580.397845,647.49696,121.40568,191869.275
2008,HOUSTON,45.5,2200,700,3059.919231,890.30832,283.27992,866813.675
2008,HUNT,41.5,22700,19300,2790.915343,9186.36312,7810.43208,21798254.73
2008,HUTCHINSON,23,75000,31400,1546.772359,30351.42,12707.12784,19655034.1
2008,IRION,19,2200,1200,1277.76847,890.30832,485.62272,620513.4
2008,JACK,25,7300,400,1681.274303,2954.20488,161.87424,272155
2008,JOHNSON,43,14800,7800,2891.791801,5989.34688,3156.54768,9128078.7
2008,JONES,19.5,164900,99200,1311.393956,66732.65544,40144.81152,52645663.2
2008,KAUFMAN,22.5,11800,4200,1513.146873,4775.29008,1699.67952,2571864.75
2008,KENT,16,15500,5300,1076.015554,6272.6268,2144.83368,2307874.4
2008,KNOX,24.5,149500,116500,1647.648817,60500.4972,47145.8724,77679840.88
2008,LAMAR,50,19200,18500,3362.548606,7769.96352,7486.6836,25174337.5
2008,LAMB,56,72300,37600,3766.054438,29258.76888,15216.17856,57304956.8
2008,LAMPASAS,25,1500,1000,1681.274303,607.0284,404.6856,680387.5
2008,LIBERTY,30.5,6400,2900,2051.154649,2589.98784,1173.58824,2407210.975
2008,LIPSCOMB,27.5,24300,17000,1849.401733,9833.86008,6879.6552,12723246.25
2008,LIVE OAK,20,1100,600,1345.019442,445.15416,242.81136,326586
2008,LUBBOCK,24,33100,12200,1614.023331,13395.09336,4937.16432,7968698.4
